state,state_fips,year,total_18_64,uninsured_18_64,uninsured_rate
Ohio,39,2018,6840199,602244,8.804480688354243
Oklahoma,40,2018,2249488,460776,20.483594489057065
Oregon,41,2018,2498361,256028,10.247838482909396
Pennsylvania,42,2018,7529481,567311,7.534529936392695
Rhode Island,44,2018,646561,37030,5.727224500085839
South Carolina,45,2018,2931158,464442,15.84500050833152
South Dakota,46,2018,499538,70847,14.182504634282076
Tennessee,47,2018,3992463,587202,14.707763102626123
Texas,48,2018,16903213,4062007,24.03097564942239
Vermont,50,2018,374662,21885,5.841264926787344
Utah,49,2018,1805828,219616,12.161512613604396
Virginia,51,2018,5016132,615925,12.278883410564156
Washington,53,2018,4528688,423560,9.352819182951
West Virginia,54,2018,1036946,99570,9.602235796270971
Illinois,17,2019,7525174,786561,10.452396183795882
Georgia,13,2019,6265771,1186256,18.932322933602265
Idaho,16,2019,1006189,166451,16.54271712372129
Hawaii,15,2019,778070,46112,5.926459058953565
Indiana,18,2019,3920002,454749,11.600733877176593
Iowa,19,2019,1815087,131744,7.258274672233342
Kansas,20,2019,1652156,216631,13.11201847767402
Kentucky,21,2019,2594796,235356,9.070308417309105
Louisiana,22,2019,2668199,349203,13.08759204242262
Maine,23,2019,788302,91594,11.619151036024265
Maryland,24,2019,3597998,299865,8.33421808461261
Massachusetts,25,2019,4238020,177270,4.1828495382277575
Michigan,26,2019,5869012,488009,8.315011112602939
Minnesota,27,2019,3310523,227567,6.874049810256566
Connecticut,09,2019,2132251,176514,8.278293690564572
Florida,12,2019,12249102,2391683,19.525374186613842
Alabama,01,2019,2833283,424986,14.999772348897022
Alaska,02,2019,426835,67583,15.833518807033162
Arizona,04,2019,4126688,637088,15.438240060794516
Arkansas,05,2019,1714037,224799,13.115177793711572
California,06,2019,23853893,2611825,10.949260986456173
Colorado,08,2019,3503859,375952,10.729655502690035
Delaware,10,2019,555236,51796,9.328645837085492
District of Columbia,11,2019,473010,21000,4.439652438637661
Mississippi,28,2019,1686473,329643,19.546295730794387
Missouri,29,2019,3551930,503814,14.184232234306418
Montana,30,2019,608703,71605,11.763536568737134
Nebraska,31,2019,1101127,129061,11.72080967953742
Nevada,32,2019,1824973,283393,15.528613300032385
New Hampshire,33,2019,821002,73378,8.93761525550486
New Jersey,34,2019,5298118,589142,11.119835383054888
New Mexico,35,2019,1184202,173007,14.60958518901336
New York,36,2019,11747956,880352,7.493661024947659
North Carolina,37,2019,6114454,1003728,16.415660335330024
North Dakota,38,2019,443254,36227,8.172966290208324
Ohio,39,2019,6805339,617231,9.069805339601746
Oklahoma,40,2019,2250687,462236,20.537551423187676
Oregon,41,2019,2503675,257084,10.268265649495243
Pennsylvania,42,2019,7480670,587744,7.8568363528935246
Rhode Island,44,2019,642936,37674,5.859681212437941
South Carolina,45,2019,2949479,474507,16.08782432422811
South Dakota,46,2019,493709,70308,14.240777462027227
Tennessee,47,2019,4007815,595524,14.85906909375807
Texas,48,2019,17052965,4173748,24.47520416537535
Vermont,50,2019,371655,24953,6.714022413259609
Utah,49,2019,1834209,221826,12.09382355009707
Virginia,51,2019,4996695,549752,11.002312528581392
Washington,53,2019,4552682,433219,9.515687675967705
West Virginia,54,2019,1022840,102616,10.032458644558288
Wisconsin,55,2019,3413423,274836,8.05162442510055
Wyoming,56,2019,329365,54698,16.60710761617051
Alabama,01,2021,2900204,436700,15.05756146808983
Arizona,04,2021,4136609,609774,14.740914599373545
Arkansas,05,2021,1719631,227834,13.249005164480055
California,06,2021,23573539,2324024,9.858613083084386
Colorado,08,2021,3532075,387907,10.982411188890383
Connecticut,09,2021,2151561,160276,7.44928914402148
Delaware,10,2021,568241,47365,8.335371787674596
District of Columbia,11,2021,442448,18811,4.251573066213431
Florida,12,2021,12395282,2217438,17.889371133307012
Georgia,13,2021,6357365,1151647,18.115162492636493
Hawaii,15,2021,784852,43450,5.5360755913216755
Idaho,16,2021,1070954,129412,12.083805653650858
Illinois,17,2021,7481719,763603,10.20625072927759
Indiana,18,2021,3944818,397800,10.084115414196548
Iowa,19,2021,1820963,123514,6.782894545358692
Kansas,20,2021,1659729,224258,13.511723901914108
Kentucky,21,2021,2605525,205281,7.878680880052964
